basisofrecord	stateprovince	family	genus	species	scientificname	yearcollected	monthcollected	daycollected	county	locality	longitude	latitude	minimumelevation	maximumelevation	notes
PreservedSpecimen	Ceará	Fabaceae	Chamaecrista		Chamaecrista	2007	04	13	Icapuí	Temembé, lago prox a pousada solar.	-37.9921	-5.343264			<nO>Erva rastejante. Flores amarelas.; Caatinga.</nO>
PreservedSpecimen	Ceará	Acanthaceae	Ruellia	asperula	Ruellia asperula	2015	05	28	Limoeiro do Norte	Chapada do Apodi, margem da estrada entre Limoeiro do Norte e a fronteira com o estado do Rio Grande do Norte	-37.873611	-5.304722	144	144	
PreservedSpecimen	Ceará	Fabaceae	Centrosema	pascuorum	Centrosema pascuorum	1987	6	27	Tabuleiro do Norte	Rodovia Juazeiro do Norte-Russa, 5km Sul do Rio Jaguaribe, BR-116	-38.166667	-5.266667			<nO><ll>habitat:</ll> Caatinga</nO>
PreservedSpecimen	Ceará	Verbenaceae	Lantana	achyranthifolia	Lantana achyranthifolia	2003	05	22	Tabuleiro do Norte	Sto. Antônio da Ladeira, Ch. do Apodi, Chapada.	-38.1306	-5.24667			<nO>Subarbusto, flor branca com miolo amarelo, material coletado folha e flor.</nO>
PreservedSpecimen	Ceará	Verbenaceae	Lippia	origanoides	Lippia origanoides	2010	05	04	Tabuleiro do Norte	Chapada do Apodi	-38.1306	-5.24667			<nO>Arbusto; flor branca.</nO>
PreservedSpecimen	Ceará	Rubiaceae	Machaonia	brasiliensis	Machaonia brasiliensis	2007	04	26	Tabuleiro do Norte	Chapada do Apodi	-38.1306	-5.24667			<nO>Arbusto.</nO>
PreservedSpecimen	Ceará	Asteraceae	Pectis	elongata	Pectis elongata	1996	09	04	Tabuleiro do Norte	Chapada do Apodi	-38.1306	-5.24667			<nO>Caatinga</nO>
PreservedSpecimen	Ceará	Fabaceae	Apuleia	leiocarpa	Apuleia leiocarpa	1957	09	02	Tabuleiro do Norte	Entre aldeota e barra do cocó.	-38.1306	-5.24667			<nO>. Flor Branca.</nO>
PreservedSpecimen	Ceará	Cannabaceae	Celtis	spinosa	Celtis spinosa	2013	11	29	Tabuleiro do Norte	congl. 219, sub. 4, árv. 1.&nf;Solos rasos.	-38.159981	-5.229047			<nO>Inventário Florestal Nacional - CE; Arbusto; casca com estrias verticais, entre casca verde e lenho claro; flor amarela, fruto verde.&nf;Dups RB.; Caatinga em estágio inicial.</nO>
PreservedSpecimen	Ceará	Fabaceae	Tephrosia	purpurea	Tephrosia purpurea	2013	11	29	Tabuleiro do Norte	congl. 219, sub. 1, árv. 1H.&nf;Solos rasos.	-38.159981	-5.229047			<nO>Inventário Florestal Nacional - CE; Subarbusto de fruto marrom.&nf;Dups RB.; Caatinga em estágio inicial.</nO>
PreservedSpecimen	Ceará	Euphorbiaceae	Croton	blanchetianus	Croton blanchetianus	2010	05	03	Tabuleiro do Norte		-38.1306	-5.24667			<nO>Arbusto.</nO>
PreservedSpecimen	Ceará	Fabaceae	Senna	martiana	Senna martiana	2003	05	22	Tabuleiro do Norte	Santo Antônio da Ladeira- Chapada do Apodi.	-38.1306	-5.24667			<nO>Arbusto, frequência bastante. Flor Amarela. Fruto Verde-marrom</nO>
PreservedSpecimen	Ceará	Fabaceae	Senna	martiana	Senna martiana	1977	08	20	Tabuleiro do Norte	estrada para Mossoró	-38.1306	-5.24667			<nO>Arbusto</nO>
PreservedSpecimen	Ceará	Convolvulaceae	Jacquemontia	evolvuloides	Jacquemontia evolvuloides	2022	11	26	Tabuleiro do Norte		-38.1306	-5.24667			<nO>Herbácea.</nO>
